# t_s tcp_tw tcp_est tcp_synsent pcbcount udp_pcb
2 16349 44 2 31542 49
4 16349 45 3 32390 46
6 16349 45 1 37643 47
8 16349 44 2 42294 45
10 16349 45 1 47573 45
12 16349 44 1 52753 45
14 16349 45 1 36794 45
16 16350 44 1 16413 45
18 16350 44 1 16413 45
20 16350 44 1 16413 45
22 16350 44 3 16415 46
24 16350 44 3 16416 45
26 16350 43 6 16418 45
28 16350 44 4 16418 45
30 16350 44 4 16417 45
32 16350 46 2 16416 51
34 16350 47 3 16419 45
36 16350 47 3 16419 45
38 16350 47 3 16420 45
40 16349 48 1 16418 45
42 16349 48 1 16416 45
44 16349 48 1 16416 45
46 0 47 3 69 46
48 0 48 1 69 45
50 0 48 1 67 45
52 0 48 1 67 45
54 0 48 1 67 45
56 0 48 1 67 45
58 0 48 1 67 45
60 0 47 2 69 45
62 0 48 1 67 45
64 0 46 3 68 45
66 0 46 3 68 45
68 0 47 1 67 45
70 0 47 1 66 45
72 0 47 1 66 45
74 0 47 1 66 45
76 0 47 1 66 45
78 0 47 1 66 45
80 0 46 3 68 46
82 0 46 3 68 45
84 0 47 1 67 45
86 1 47 1 67 45
88 2 47 1 70 47
90 2 47 2 68 47
92 2 47 1 68 45
94 2 47 1 68 45
96 2 47 1 68 45
98 2 47 1 70 46
100 2 44 2 69 46
102 2 45 1 67 45
104 2 45 1 67 45
106 2 45 1 68 45
108 2 44 1 66 45
110 2 44 1 66 45
112 2 44 1 66 45
114 2 44 1 66 51
116 1 41 1 65 37
118 1 41 1 65 37
120 0 40 1 63 38
122 0 40 1 63 38
124 0 40 1 63 39
126 0 40 1 63 39
128 0 39 1 64 39
130 1 39 2 62 37
132 1 39 2 62 37
134 1 40 1 62 37
136 1 40 1 63 37
138 1 40 2 193 37
140 1 40 2 193 37
142 2 40 4 193 37
144 2 40 2 193 37
146 2 40 2 193 37
148 2 39 2 193 37
150 2 39 2 193 37
152 2 39 2 194 37
154 2 39 2 193 37
156 2 39 2 193 37
158 2 39 2 193 37
160 1 39 2 193 37
162 1 39 2 192 37
164 1 39 2 192 37
166 1 39 2 192 37
168 1 39 2 192 37
170 1 39 2 192 37
172 0 39 2 191 37
174 0 39 4 191 41
176 0 39 8 191 41
178 0 39 8 191 80
180 0 39 12 195 92
DONE
